run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,1,-213.57975537520116,True
0,UB3LYP,vtz,trail,1.725,1,-213.59376287068483,True
1,UB3LYP,vdz,trail,1.725,1,-213.50929997270532,True
1,UB3LYP,vtz,trail,1.725,1,-213.51800393070016,True
2,UB3LYP,vdz,trail,1.725,1,-213.35519489353385,True
2,UB3LYP,vtz,trail,1.725,1,-213.36328636985078,True
3,UB3LYP,vdz,trail,1.725,1,-213.51184173749078,True
3,UB3LYP,vtz,trail,1.725,1,-213.52148067575786,True
4,UB3LYP,vdz,trail,1.725,1,-213.47066206026568,True
4,UB3LYP,vtz,trail,1.725,1,-213.47893875631016,True
5,UB3LYP,vdz,trail,1.725,1,-213.47101853382185,True
5,UB3LYP,vtz,trail,1.725,1,-213.47925902552728,True
6,UB3LYP,vdz,trail,1.725,1,-213.46164031878016,True
6,UB3LYP,vtz,trail,1.725,1,-213.46981201614898,True
7,UB3LYP,vdz,trail,1.725,1,-213.2777822188183,True
7,UB3LYP,vtz,trail,1.725,1,-213.285482938664,True
8,UB3LYP,vdz,trail,1.725,1,-213.23534655544066,True
8,UB3LYP,vtz,trail,1.725,1,-213.24309696535246,True
9,UB3LYP,vdz,trail,1.725,1,-213.33166115105848,True
9,UB3LYP,vtz,trail,1.725,1,-213.33907366899234,True
10,UB3LYP,vdz,trail,1.725,1,-213.31452896742005,True
10,UB3LYP,vtz,trail,1.725,1,-213.32191540416048,True
11,UB3LYP,vdz,trail,1.725,1,-213.41969899681376,True
11,UB3LYP,vtz,trail,1.725,1,-213.4295642098511,True
